地块ID,果树品种,平均气温,相对湿度,降水量,日照时数,土壤湿度,风速,近7天病株数,近7天虫口密度,近30天用药次数,病虫害类型,风险等级
F93,苹果,28.5,87,24,3.1,40,2.6,10,8.8,5,3,高
F94,梨,22.3,70,6.2,7,28,1.2,0,1.2,1,0,低
F95,柑橘,26,80,17.3,4.2,35,2,5,5.9,3,2,中
F96,桃,25.2,77,14,4.9,33,1.8,3,4.5,2,2,中
F97,苹果,21.1,67,3.4,7.7,26,1,0,0.5,1,0,低
F98,梨,27,83,20.5,3.9,37,2.2,6,6.9,3,3,高
F99,柑橘,22.9,73,9.2,5.7,30,1.5,1,2.8,2,1,低
F100,桃,24.7,75,11,5.7,31,1.6,1,3.1,2,1,低
F101,苹果,23.8,76,11.5,5.4,31,1.7,2,3.4,2,1,中
F102,梨,26.2,81,18.5,4.1,35,2.1,5,6.2,3,3,高
F103,柑橘,20.5,66,2.7,7.8,26,1,0,0.4,1,0,低
F104,桃,22.5,71,7.6,6.6,29,1.3,0,1.6,1,0,低
F105,苹果,25.7,79,15.5,4.6,34,1.9,4,4.8,3,2,中
F106,梨,24,74,9.7,6,30,1.5,1,2.6,2,1,低
F107,柑橘,27.2,84,21,3.7,37,2.3,7,7.4,4,3,高
F108,桃,21.6,69,5,7.1,28,1.2,0,1.1,1,0,低
F109,苹果,28.1,85,22.8,3.4,38,2.4,8,8,4,3,高
F110,梨,23.1,72,8.2,6.3,29,1.4,1,2.1,2,1,低
F111,柑橘,25.3,78,14.4,4.8,33,1.8,3,4.4,2,2,中
F112,桃,20.8,65,2.3,7.9,25,0.9,0,0.3,1,0,低
F113,苹果,24.4,75,10.9,5.6,31,1.6,1,2.9,2,1,低
F114,梨,27.4,83,20.8,3.8,37,2.2,6,7,3,3,高
F115,柑橘,22.1,70,6.9,6.8,28,1.2,0,1.5,1,0,低
F116,桃,26.3,80,17.2,4.2,35,2,5,5.7,3,2,中
F117,苹果,21.8,68,4.7,7.3,27,1.1,0,0.9,1,0,低
F118,梨,25.1,77,13.5,5,32,1.7,2,3.8,2,2,中
F119,柑橘,23.4,73,9,5.9,30,1.5,1,2.5,2,1,低
F120,桃,28.4,86,23.4,3.2,39,2.5,9,8.4,4,3,高
F121,苹果,26.5,81,18.3,4,36,2.1,5,6.3,3,2,中
F122,梨,20.7,66,3,7.6,26,1,0,0.7,1,0,低
F123,柑橘,24.2,75,11.8,5.4,31,1.6,2,3.3,2,1,中
F124,桃,22.8,71,7.9,6.5,29,1.3,0,1.9,1,0,低
F125,苹果,27.7,84,21.3,3.6,37,2.3,7,7.5,4,3,高
F126,梨,23.6,74,9.2,6.1,30,1.5,1,2.3,2,1,低
F127,柑橘,25.5,78,15.4,4.7,33,1.9,3,4.7,2,2,中
F128,桃,21.4,68,4.3,7.4,27,1.1,0,0.8,1,0,低
F129,苹果,26.9,82,19.6,4,36,2.2,6,6.6,3,3,高
F130,梨,24.6,76,12.3,5.3,32,1.7,2,3.6,2,2,中
F131,柑橘,20.2,64,2.2,8,25,0.8,0,0.2,1,0,低
F132,桃,23.3,72,8.7,6.2,30,1.4,1,2.4,2,1,低
F133,苹果,28.6,87,24.2,3.1,40,2.6,10,9,5,3,高
F134,梨,22.4,70,6.5,7,28,1.2,0,1.3,1,0,低
F135,柑橘,26.1,80,17.5,4.2,35,2,5,6,3,2,中
F136,桃,25.4,77,14.3,4.9,33,1.8,3,4.6,2,2,中
F137,苹果,21.2,67,3.6,7.7,26,1,0,0.7,1,0,低
F138,梨,27.1,83,20.6,3.9,37,2.2,6,7.1,3,3,高
F139,柑橘,22.9,73,9.3,5.7,30,1.5,1,2.7,2,1,低
F140,桃,24.8,75,11.2,5.6,31,1.6,1,3.2,2,1,低
F141,苹果,23.9,76,11.7,5.3,31,1.7,2,3.5,2,1,中
F142,梨,26.4,81,18.6,4.1,35,2.1,5,6.4,3,3,高
F143,柑橘,20.6,66,2.8,7.8,26,1,0,0.5,1,0,低
F144,桃,22.6,71,7.7,6.6,29,1.3,0,1.7,1,0,低
F145,苹果,25.8,79,15.7,4.6,34,1.9,4,5,3,2,中
F146,梨,24.1,74,9.9,6,30,1.5,1,2.7,2,1,低
F147,柑橘,27.3,84,21.1,3.7,37,2.3,7,7.6,4,3,高
F148,桃,21.7,69,5.1,7.1,28,1.2,0,1.2,1,0,低
F149,苹果,28.2,85,22.9,3.4,38,2.4,8,8.2,4,3,高
F150,梨,23.2,72,8.3,6.3,29,1.4,1,2.2,2,1,低
F151,柑橘,25.6,78,14.6,4.8,33,1.8,3,4.5,2,2,中
F152,桃,20.9,65,2.4,7.9,25,0.9,0,0.4,1,0,低
F153,苹果,24.5,75,11.1,5.7,31,1.6,1,3,2,1,低
F154,梨,27.5,83,20.9,3.8,37,2.2,6,7.2,3,3,高
F155,柑橘,22.2,70,7,6.8,28,1.2,0,1.6,1,0,低
F156,桃,26.5,80,17.4,4.2,35,2,5,5.8,3,2,中
F157,苹果,21.9,68,4.8,7.2,27,1.1,0,1,1,0,低
F158,梨,25.2,77,13.6,5,32,1.7,2,3.9,2,2,中
F159,柑橘,23.5,73,9.1,5.8,30,1.5,1,2.6,2,1,低
F160,桃,28.5,86,23.5,3.2,39,2.5,9,8.5,4,3,高
F161,苹果,26.6,81,18.4,4,36,2.1,5,6.5,3,2,中
F162,梨,20.8,66,3.1,7.5,26,1,0,0.8,1,0,低
F163,柑橘,24.3,75,12,5.3,31,1.6,2,3.4,2,1,中
F164,桃,22.9,71,8,6.5,29,1.3,0,2,1,0,低
F165,苹果,27.8,84,21.4,3.6,37,2.3,7,7.7,4,3,高
F166,梨,23.7,74,9.3,6.1,30,1.5,1,2.4,2,1,低
F167,柑橘,25.7,78,15.6,4.7,33,1.9,3,4.8,2,2,中
F168,桃,21.5,68,4.5,7.3,27,1.1,0,0.9,1,0,低
F169,苹果,27,82,20,4,36,2.2,6,6.7,3,3,高
F170,梨,24.7,76,12.4,5.2,32,1.7,2,3.7,2,2,中
F171,柑橘,20.4,64,2.3,8,25,0.8,0,0.3,1,0,低
F172,桃,23.4,72,8.8,6.2,30,1.4,1,2.5,2,1,低
F173,苹果,28.7,87,24.4,3,40,2.6,10,9.2,5,3,高
F174,梨,22.5,70,6.6,7,28,1.2,0,1.4,1,0,低
F175,柑橘,26.2,80,17.6,4.2,35,2,5,6.1,3,2,中
F176,桃,25.5,77,14.5,4.9,33,1.8,3,4.7,2,2,中
F177,苹果,21.3,67,3.7,7.7,26,1,0,0.7,1,0,低
F178,梨,27.2,83,20.7,3.9,37,2.2,6,7.3,3,3,高
F179,柑橘,23,73,9.4,5.7,30,1.5,1,2.8,2,1,低
F180,桃,24.9,75,11.4,5.5,31,1.6,1,3.3,2,1,低
F181,苹果,24,76,11.9,5.2,31,1.7,2,3.6,2,1,中
F182,梨,26.5,81,18.8,4.1,35,2.1,5,6.6,3,3,高
F183,柑橘,20.7,66,2.9,7.8,26,1,0,0.6,1,0,低
F184,桃,22.7,71,7.8,6.6,29,1.3,0,1.8,1,0,低
F185,苹果,25.9,79,15.9,4.6,34,1.9,4,5.2,3,2,中
F186,梨,24.2,74,10.1,6,30,1.5,1,2.8,2,1,低
F187,柑橘,27.4,84,21.2,3.7,37,2.3,7,7.8,4,3,高
F188,桃,21.8,69,5.2,7.1,28,1.2,0,1.3,1,0,低
F189,苹果,28.3,85,23,3.4,38,2.4,8,8.3,4,3,高
F190,梨,23.3,72,8.5,6.3,29,1.4,1,2.3,2,1,低
F191,柑橘,25.7,78,14.8,4.8,33,1.8,3,4.6,2,2,中
F192,桃,21,65,2.5,7.9,25,0.9,0,0.5,1,0,低
F193,苹果,24.6,75,11.3,5.6,31,1.6,1,3.1,2,1,低
F194,梨,27.6,83,21,3.8,37,2.2,6,7.4,3,3,高
F195,柑橘,22.3,70,7.1,6.8,28,1.2,0,1.7,1,0,低
F196,桃,26.6,80,17.5,4.2,35,2,5,5.9,3,2,中
F197,苹果,22,68,4.9,7.2,27,1.1,0,1.1,1,0,低
F198,梨,25.3,77,13.8,5,32,1.7,2,4,2,2,中
F199,柑橘,23.6,73,9.2,5.8,30,1.5,1,2.7,2,1,低
F200,桃,28.6,86,23.6,3.2,39,2.5,9,8.6,4,3,高
F201,苹果,26.7,81,18.5,4,36,2.1,5,6.6,3,2,中
F202,梨,20.9,66,3.2,7.5,26,1,0,0.9,1,0,低
F203,柑橘,24.4,75,12.1,5.3,31,1.6,2,3.5,2,1,中
F204,桃,23,71,8.1,6.5,29,1.3,0,2.1,1,0,低
F205,苹果,27.9,84,21.5,3.6,37,2.3,7,7.9,4,3,高
F206,梨,23.8,74,9.4,6.1,30,1.5,1,2.5,2,1,低
F207,柑橘,25.8,78,15.8,4.7,33,1.9,3,4.9,2,2,中
F208,桃,21.6,68,4.6,7.3,27,1.1,0,1,1,0,低
F209,苹果,27.1,82,20.1,4,36,2.2,6,6.8,3,3,高
F210,梨,24.8,76,12.6,5.2,32,1.7,2,3.8,2,2,中
F211,柑橘,20.5,64,2.4,8,25,0.8,0,0.4,1,0,低
F212,桃,23.5,72,8.9,6.2,30,1.4,1,2.6,2,1,低
F213,苹果,28.8,87,24.5,3,40,2.6,10,9.3,5,3,高
F214,梨,22.6,70,6.8,7,28,1.2,0,1.5,1,0,低
F215,柑橘,26.3,80,17.8,4.2,35,2,5,6.2,3,2,中
F216,桃,25.6,77,14.6,4.9,33,1.8,3,4.8,2,2,中
F217,苹果,21.4,67,3.8,7.7,26,1,0,0.8,1,0,低
F218,梨,27.3,83,20.8,3.9,37,2.2,6,7.5,3,3,高
F219,柑橘,23.1,73,9.5,5.7,30,1.5,1,2.9,2,1,低
F220,桃,25,75,11.5,5.5,31,1.6,1,3.4,2,1,低
F221,苹果,24.1,76,12.1,5.2,31,1.7,2,3.7,2,1,中
F222,梨,26.6,81,18.9,4.1,35,2.1,5,6.7,3,3,高
F223,柑橘,20.8,66,3,7.8,26,1,0,0.7,1,0,低
F224,桃,22.8,71,7.9,6.6,29,1.3,0,1.9,1,0,低
F225,苹果,26,79,16,4.6,34,1.9,4,5.3,3,2,中
F226,梨,24.3,74,10.2,6,30,1.5,1,2.9,2,1,低
F227,柑橘,27.5,84,21.4,3.7,37,2.3,7,7.9,4,3,高
F228,桃,21.9,69,5.3,7.1,28,1.2,0,1.4,1,0,低
F229,苹果,28.4,85,23.1,3.4,38,2.4,8,8.4,4,3,高
F230,梨,23.4,72,8.6,6.3,29,1.4,1,2.4,2,1,低
F231,柑橘,25.8,78,14.9,4.8,33,1.8,3,4.7,2,2,中
F232,桃,21.1,65,2.6,7.9,25,0.9,0,0.6,1,0,低
F233,苹果,24.7,75,11.5,5.6,31,1.6,1,3.2,2,1,低
F234,梨,27.7,83,21.1,3.8,37,2.2,6,7.6,3,3,高
F235,柑橘,22.4,70,7.2,6.8,28,1.2,0,1.8,1,0,低
F236,桃,26.7,80,17.6,4.2,35,2,5,6,3,2,中
F237,苹果,22.1,68,5,7.2,27,1.1,0,1.2,1,0,低
F238,梨,25.4,77,13.9,5,32,1.7,2,4.1,2,2,中
F239,柑橘,23.7,73,9.3,5.8,30,1.5,1,2.8,2,1,低
F240,桃,28.7,86,23.8,3.2,39,2.5,9,8.7,4,3,高
F241,苹果,26.8,81,18.6,4,36,2.1,5,6.8,3,2,中
F242,梨,21,66,3.3,7.5,26,1,0,1,1,0,低
F243,柑橘,24.5,75,12.3,5.3,31,1.6,2,3.6,2,1,中
F244,桃,23.1,71,8.2,6.5,29,1.3,0,2.2,1,0,低
F245,苹果,28,84,21.6,3.6,37,2.3,7,8,4,3,高
F246,梨,23.9,74,9.5,6.1,30,1.5,1,2.6,2,1,低
F247,柑橘,25.9,78,15.9,4.7,33,1.9,3,5,2,2,中
F248,桃,21.7,68,4.7,7.3,27,1.1,0,1.1,1,0,低
F249,苹果,27.2,82,20.1,4,36,2.2,6,6.9,3,3,高
F250,梨,24.9,76,12.7,5.2,32,1.7,2,3.9,2,2,中
F251,柑橘,20.6,64,2.5,8,25,0.8,0,0.5,1,0,低
F252,桃,23.6,72,9,6.2,30,1.4,1,2.7,2,1,低
F253,苹果,28.9,87,24.6,3,40,2.6,10,9.4,5,3,高
F254,梨,22.7,70,6.9,7,28,1.2,0,1.6,1,0,低
F255,柑橘,26.4,80,17.9,4.2,35,2,5,6.3,3,2,中
F256,桃,25.7,77,14.8,4.9,33,1.8,3,4.9,2,2,中
F257,苹果,21.5,67,3.9,7.7,26,1,0,0.9,1,0,低
F258,梨,27.4,83,20.9,3.9,37,2.2,6,7.7,3,3,高
F259,柑橘,23.2,73,9.6,5.7,30,1.5,1,3,2,1,低
F260,桃,25.1,75,11.6,5.5,31,1.6,1,3.5,2,1,低
F261,苹果,24.2,76,12.2,5.2,31,1.7,2,3.8,2,1,中
F262,梨,26.7,81,19,4.1,35,2.1,5,6.8,3,3,高
F263,柑橘,20.9,66,3.1,7.8,26,1,0,0.8,1,0,低
F264,桃,22.9,71,8,6.6,29,1.3,0,2,1,0,低
F265,苹果,26.1,79,16.1,4.6,34,1.9,4,5.4,3,2,中
F266,梨,24.4,74,10.3,6,30,1.5,1,3,2,1,低
F267,柑橘,27.6,84,21.5,3.7,37,2.3,7,8,4,3,高
F268,桃,22,69,5.4,7.1,28,1.2,0,1.5,1,0,低
F269,苹果,28.5,85,23.2,3.4,38,2.4,8,8.5,4,3,高
F270,梨,23.5,72,8.7,6.3,29,1.4,1,2.5,2,1,低
F271,柑橘,25.9,78,15,4.8,33,1.8,3,4.8,2,2,中
F272,桃,21.2,65,2.7,7.9,25,0.9,0,0.7,1,0,低
F273,苹果,24.8,75,11.6,5.6,31,1.6,1,3.3,2,1,低
F274,梨,27.8,83,21.2,3.8,37,2.2,6,7.8,3,3,高
F275,柑橘,22.5,70,7.3,6.8,28,1.2,0,1.9,1,0,低
F276,桃,26.8,80,17.7,4.2,35,2,5,6.1,3,2,中
F277,苹果,22.2,68,5.1,7.2,27,1.1,0,1.3,1,0,低
F278,梨,25.5,77,14,5,32,1.7,2,4.2,2,2,中
F279,柑橘,23.8,73,9.4,5.8,30,1.5,1,2.9,2,1,低
F280,桃,28.8,86,23.9,3.2,39,2.5,9,8.8,4,3,高
F281,苹果,26.9,81,18.7,4,36,2.1,5,6.9,3,2,中
F282,梨,21.1,66,3.4,7.5,26,1,0,1.1,1,0,低
F283,柑橘,24.6,75,12.4,5.3,31,1.6,2,3.7,2,1,中
F284,桃,23.2,71,8.3,6.5,29,1.3,0,2.3,1,0,低
F285,苹果,28,84,21.6,3.6,37,2.3,7,8,4,3,高
F286,梨,21.2,67,3.5,7.7,26,1,0,1.2,1,0,低
F287,柑橘,25,78,15.2,4.7,33,1.9,3,5.1,2,2,中
F288,桃,24.6,76,12.8,5.2,32,1.7,2,3.9,2,2,中
F289,苹果,22.8,73,9.1,5.9,30,1.5,1,2.8,2,1,低
F290,梨,26.1,81,18.2,4.1,35,2.1,5,6.5,3,3,高
F291,柑橘,21.5,69,4.8,7.1,28,1.2,0,1.3,1,0,低
F292,桃,25.3,77,14.1,4.9,33,1.8,3,4.6,2,2,中
F293,苹果,24.9,75,11.4,5.5,31,1.6,1,3.2,2,1,低
F294,梨,27.9,84,21.8,3.7,37,2.3,7,8.1,4,3,高
F295,柑橘,23.3,72,8.2,6.4,30,1.4,1,2.4,2,1,低
F296,桃,20.4,66,2.6,7.8,26,1,0,0.6,1,0,低
F297,苹果,26.2,80,17.4,4.2,35,2,5,6.1,3,2,中
F298,梨,23.6,74,9.6,6.1,30,1.5,1,2.6,2,1,低
F299,柑橘,25.1,79,16.3,4.5,34,2,4,5.5,3,1,中
F300,桃,27,83,20.3,3.8,36,2.2,6,7.2,3,3,高
